t, x1, y1, x2, y2
67523.742253, 16787.736799, -30339.124702, 1600850319.967726, -479411449.048795
67690.731714, 16896.031199, -30467.407394, 1602216734.772761, -474845702.831644
67857.721175, 17004.744171, -30595.813914, 1603570029.327380, -470276075.184398
68024.710636, 17113.876065, -30724.343068, 1604910192.705615, -465702603.568012
68191.700097, 17223.427225, -30852.993659, 1606237214.087119, -461125325.473469
68358.689558, 17333.397993, -30981.764490, 1607551082.757247, -456544278.421493
68525.679019, 17443.788707, -31110.654363, 1608851788.107129, -451959499.962260
68692.668480, 17554.599703, -31239.662080, 1610139319.633750, -447371027.675101
68859.657941, 17665.831312, -31368.786440, 1611413666.940023, -442778899.168220
69026.647402, 17777.483862, -31498.026243, 1612674819.734864, -438183152.078393
69193.636863, 17889.557680, -31627.380288, 1613922767.833271, -433583824.070688
69360.626324, 18002.053085, -31756.847371, 1615157501.156390, -428980952.838165
69527.615786, 18114.970396, -31886.426289, 1616379009.731592, -424374576.101589
69694.605247, 18228.309928, -32016.115838, 1617587283.692547, -419764731.609136
69861.594708, 18342.071993, -32145.914814, 1618782313.279289, -415151457.136103
70028.584169, 18456.256898, -32275.822009, 1619964088.838291, -410534790.484616
70195.573630, 18570.864948, -32405.836217, 1621132600.822535, -405914769.483338
70362.563091, 18685.896444, -32535.956231, 1622287839.791577, -401291431.987175
70529.552552, 18801.351683, -32666.180842, 1623429796.411620, -396664815.876986
70696.542013, 18917.230961, -32796.508840, 1624558461.455576, -392034959.059288
70863.531474, 19033.534568, -32926.939015, 1625673825.803138, -387401899.465966
71030.520935, 19150.262792, -33057.470158, 1626775880.440842, -382765675.053978
71197.510396, 19267.415917, -33188.101054, 1627864616.462135, -378126323.805065
71364.499857, 19384.994223, -33318.830494, 1628940025.067436, -373483883.725454
71531.489318, 19502.997988, -33449.657262, 1630002097.564202, -368838392.845566
71698.478779, 19621.427486, -33580.580145, 1631050825.366991, -364189889.219725
71865.468240, 19740.282988, -33711.597928, 1632086199.997522, -359538410.925862
72032.457701, 19859.564759, -33842.709396, 1633108213.084740, -354883996.065221
72199.447162, 19979.273065, -33973.913333, 1634116856.364872, -350226682.762069
72366.436623, 20099.408164, -34105.208520, 1635112121.681490, -345566509.163396
72533.426084, 20219.970315, -34236.593742, 1636094000.985567, -340903513.438626
72700.415545, 20340.959770, -34368.067778, 1637062486.335542, -336237733.779320
72867.405006, 20462.376780, -34499.629411, 1638017569.897368, -331569208.398883
73034.394467, 20584.221590, -34631.277420, 1638959243.944576, -326897975.532271
73201.383928, 20706.494444, -34763.010585, 1639887500.858328, -322224073.435691
73368.373389, 20829.195581, -34894.827685, 1640802333.127474, -317547540.386312
73535.362850, 20952.325238, -35026.727497, 1641703733.348604, -312868414.681968
73702.352311, 21075.883648, -35158.708800, 1642591694.226103, -308186734.640862
73869.341772, 21199.871039, -35290.770370, 1643466208.572206, -303502538.601273
74036.331233, 21324.287638, -35422.910984, 1644327269.307045, -298815864.921259
74203.320694, 21449.133666, -35555.129417, 1645174869.458706, -294126751.978363
74370.310155, 21574.409344, -35687.424445, 1646009002.163278, -289435238.169316
74537.299616, 21700.114886, -35819.794841, 1646829660.664900, -284741361.909743
74704.289077, 21826.250505, -35952.239380, 1647636838.315814, -280045161.633867
74871.278538, 21952.816409, -36084.756834, 1648430528.576411, -275346675.794212
75038.267999, 22079.812803, -36217.345978, 1649210725.015281, -270645942.861309
75205.257460, 22207.239890, -36350.005581, 1649977421.309256, -265943001.323399
75372.246921, 22335.097867, -36482.734417, 1650730611.243461, -261237889.686136
75539.236382, 22463.386929, -36615.531256, 1651470288.711355, -256530646.472293
75706.225843, 22592.107268, -36748.394869, 1652196447.714778, -251821310.221463
75873.215304, 22721.259071, -36881.324026, 1652909082.363994, -247109919.489766
76040.204765, 22850.842523, -37014.317495, 1653608186.877735, -242396512.849550
76207.194226, 22980.857805, -37147.374047, 1654293755.583242, -237681128.889092
76374.183687, 23111.305094, -37280.492449, 1654965782.916309, -232963806.212310
76541.173148, 23242.184565, -37413.671469, 1655624263.421319, -228244583.438455
76708.162609, 23373.496388, -37546.909876, 1656269191.751288, -223523499.201823
76875.152071, 23505.240730, -37680.206435, 1656900562.667904, -218800592.151453
77042.141532, 23637.417754, -37813.559913, 1657518371.041565, -214075900.950833
77209.130993, 23770.027622, -37946.969077, 1658122611.851416, -209349464.277599
77376.120454, 23903.070489, -38080.432692, 1658713280.185385, -204621320.823244
77543.109915, 24036.546510, -38213.949523, 1659290371.240223, -199891509.292813
77710.099376, 24170.455833, -38347.518335, 1659853880.321535, -195160068.404611
77877.088837, 24304.798605, -38481.137893, 1660403802.843819, -190427036.889906
